(Parent) ASIN,(Child) ASIN,Title,Sessions,Session Percentage,Page Views,Page Views Percentage,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B083HS7FGB,B083HS7BWZ,"KASENTEX Luxury Goose Down Alternative Comforter Set with Plush Microfiber Stripe Design, Reversible and Machine Washable (Pewter Grey, Full/Queen Set)",730,0.03%,942,0.03%,98.51%,37,0,5.07%,0.00%,"$2,103.52",$0.00,38,0
B09DR7GMYC,B09DH98NKH,"KASENTEX Light Weight All Season 2 Piece Quilt Bedding Set (Includes Quilt and Pillow Sham) - Soft Machine Washable Bedspread, Brown, Twin Size","4,288",0.16%,"5,409",0.16%,95.84%,41,1,0.96%,0.02%,"$2,423.59",$59.99,38,1
B07X21XMNM,B07MKLGC2W,"KASENTEX All Season Quilted Comforter Set Chic Modern Printed Pattern Down Alternative Fill 3-Piece with Stylish Boarder Trim Design(Multi Blue, Queen + 2 Standard Shams)","2,859",0.11%,"3,390",0.10%,98.55%,40,0,1.40%,0.00%,"$2,497.76",$0.00,37,0
B089WFRJFX,B089WHLCXT,"KASENTEX 2-Tone Reversible Comforter Set with Plush Down Alternative Filling - Fluffy, Ultra Soft and Machine Washable Bedding Duvet Insert, King, Antique Red/Rose Pink",685,0.03%,937,0.03%,96.26%,37,0,5.40%,0.00%,"$2,645.91",$0.00,37,0
B08JHC8FSB,B09CDZ3VWG,"KASENTEX Seersucker Quilted Comforter All Season Down Alternative Reversible Fluffy Ultra Soft Duvet Insert, Hypoallergenic Machine Washable, Pink, King Size","1,572",0.06%,"1,860",0.05%,99.78%,37,0,2.35%,0.00%,"$2,463.63",$0.00,37,0
B09DTLFSF5,B09DLCYZSC,"KASENTEX Quilt Set King Size Ultra Soft Bedspread Bedding - Lightweight Machine Washable All Season Coverlet Vintage Nostalgic RV Camper and Compass Stitch Design, Grey, King Size + 2 Shams","1,343",0.05%,"1,576",0.05%,97.97%,37,0,2.76%,0.00%,"$2,911.63",$0.00,37,0
B07Q646L5M,B07MHJX751,"Kasentex Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Design (Natural Bluestone Star, Oversized Queen + 2 Shams)","3,747",0.14%,"4,631",0.13%,98.73%,37,0,0.99%,0.00%,"$1,849.81",$0.00,36,0
B088ZGT8GM,B088XWYXRN,"KASENTEX 100% Cotton Sham Floral Patchwork Design, Soft & Machine Washable, Two Standard Shams 20x26, Diamond Motif Blue/Ivory",272,0.01%,438,0.01%,98.86%,38,0,13.97%,0.00%,"$1,427.94",$0.00,36,0
B07Q646L5M,B07GL3D6HG,"KASENTEX Coverlet Quilt Set-Pre Washed-Luxury Microfiber Soft Warm Bedding-Solid Colors Bedspread-Contemporary Floral Design (Natural Bluestone Floral, Twin + 1 Sham)","2,006",0.07%,"2,409",0.07%,98.17%,46,0,2.29%,0.00%,"$1,457.50",$0.00,35,0
B099FQ9G3K,B07L81RMBT,"KASENTEX Luxurious Patchwork Bedspread Embroidery Cushion 100% Cotton Pillow Machine Washable(Blue, 18x18in)",793,0.03%,"1,091",0.03%,92.12%,39,1,4.92%,0.13%,"$1,169.31",$29.69,35,1
