"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Wayfair US,queen size bedspread,Bedding Sets,75,0.03%,53.33%,33.33%,6.67%
Wayfair US,boys comforter,Bedding Sets,75,0.03%,70.67%,58.67%,37.33%
Wayfair US,green comforter sets,Bedding Sets,75,0.03%,82.67%,77.33%,36%
Wayfair US,twin bed quilts,Bedding Sets,74,0.03%,60.81%,47.3%,17.57%
Wayfair US,lake house bedding sets,Bedding Sets,74,0.03%,27.03%,12.16%,0%
Wayfair US,sage green duvet cover,Bedding Sets,73,0.03%,57.53%,49.32%,19.18%
Wayfair US,red quilt,Bedding Sets,73,0.03%,67.12%,56.16%,27.4%
Wayfair US,mattress toppers,Mattress Toppers and Pads,73,0.36%,6.85%,4.11%,0%
Wayfair US,fall quilt,Bedding Sets,72,0.03%,33.33%,29.17%,1.39%
Wayfair US,thick heavy comforter set,Bedding Sets,72,0.03%,88.89%,88.89%,68.06%
Wayfair US,twin xl bedding,Bedding Sets,72,0.03%,18.06%,16.67%,1.39%
Wayfair US,green quilt set,Bedding Sets,72,0.03%,75%,48.61%,19.44%
Wayfair US,mid century modern bedding,Bedding Sets,72,0.03%,56.94%,45.83%,13.89%
Wayfair US,oversized king quilts,Bedding Sets,71,0.03%,67.61%,53.52%,33.8%
Wayfair US,pink bedspread,Bedding Sets,71,0.03%,71.83%,54.93%,21.13%
Wayfair US,green velvet comforter,Bedding Sets,71,0.03%,81.69%,78.87%,4.23%
Wayfair US,reversible comforter,Bedding Sets,71,0.03%,91.55%,88.73%,57.75%
