"A 'Brand Catalog' is a combination of Brand (Wayfair, AllModern, Birch Lane, Perigold, Joss & Main), catalog (US, UK, Germany) and language (English, French).",The term the customer typed into the search bar,The primary class associated with the search term,The total number of impressions of the search term in the last 30 days,"Of the total impressions per class, what was the percentage of impressions for this search term",The percentage of searches where any 1 sku from the supplier appeared whether paid or organic,The percentage of searches where any 1 sku from the supplier appeared on the first page,The percentage of searches where any 1 sku from the supplier appeared on the first page in the top 8 slots
Brand Catalog,Search Term,Class,Last 30 Day Impressions,Search Term Share of Impressions for Given Class,Supplier Share of Search,Supplier Share of Page 1,Supplier Share of Top 8
Wayfair US,cotton quilts,Bedding Sets,110,0.04%,22.73%,17.27%,12.73%
Wayfair US,comforter sets by madison park,Bedding Sets,110,0.04%,30.91%,5.45%,0%
Wayfair US,brown comforter set,Bedding Sets,109,0.04%,28.44%,28.44%,21.1%
Wayfair US,132 x 120 king oversized comforter,Bedding Sets,109,0.04%,68.81%,51.38%,2.75%
Wayfair US,bedding king,Bedding Sets,109,0.04%,55.96%,41.28%,8.26%
Wayfair US,full size bed comforter sets,Bedding Sets,108,0.04%,64.81%,53.7%,33.33%
Wayfair US,twin duvet,Bedding Sets,108,0.04%,31.48%,21.3%,2.78%
Wayfair US,lavender comforter,Bedding Sets,107,0.04%,71.96%,54.21%,8.41%
Wayfair US,orange throw blanket,Blankets And Throws,107,0.36%,20.56%,0.93%,0%
Wayfair US,red bedding,Bedding Sets,106,0.04%,51.89%,33.02%,14.15%
Wayfair US,king mattress topper,Mattress Toppers and Pads,106,0.55%,3.77%,0%,0%
Wayfair US,rust bedding,Bedding Sets,104,0.04%,53.85%,43.27%,0.96%
Wayfair US,queen size bedding set,Bedding Sets,104,0.04%,45.19%,30.77%,5.77%
Wayfair US,queen bed comforter,Bedding Sets,103,0.04%,64.08%,50.49%,26.21%
Wayfair US,full size bed spread,Bedding Sets,103,0.04%,26.21%,15.53%,3.88%
Wayfair US,comforter full,Bedding Sets,103,0.04%,48.54%,36.89%,21.36%
Wayfair US,bedding queen,Bedding Sets,102,0.04%,48.04%,35.29%,7.84%
Wayfair US,king size conforter set,Bedding Sets,102,0.04%,49.02%,40.2%,30.39%
Wayfair US,white king comforter set,Bedding Sets,102,0.04%,53.92%,42.16%,9.8%
Wayfair US,western bedding,Bedding Sets,101,0.04%,4.95%,1.98%,0%
Wayfair US,linen quilt,Bedding Sets,101,0.04%,30.69%,28.71%,0.99%
Wayfair US,bedding full,Bedding Sets,101,0.04%,25.74%,15.84%,8.91%
Wayfair US,heavy winter comforter,Bedding Sets,101,0.04%,35.64%,25.74%,1.98%
Wayfair US,farmhouse comforter,Bedding Sets,100,0.04%,23%,22%,18%
Wayfair US,girls twin bedding,Bedding Sets,99,0.04%,49.49%,42.42%,9.09%
Wayfair US,daybed comforter set,Bedding Sets,99,0.04%,17.17%,17.17%,0%
Wayfair US,winter comforter,Bedding Sets,99,0.04%,44.44%,32.32%,2.02%
Wayfair US,reversible quilt,Bedding Sets,99,0.04%,59.6%,44.44%,24.24%
Wayfair US,twin mattress pad,Mattress Toppers and Pads,96,0.5%,13.54%,10.42%,2.08%
Wayfair US,grey quilt,Bedding Sets,95,0.04%,73.68%,61.05%,34.74%
Wayfair US,chunky knit blanket,Blankets And Throws,94,0.32%,6.38%,2.13%,0%
Wayfair US,100 percent cotton bedspreads,Bedding Sets,94,0.04%,18.09%,1.06%,0%
Wayfair US,bed quilt,Bedding Sets,94,0.04%,60.64%,46.81%,12.77%
Wayfair US,full quilt,Bedding Sets,93,0.04%,34.41%,33.33%,5.38%
Wayfair US,rust comforter,Bedding Sets,93,0.04%,64.52%,59.14%,48.39%
Wayfair US,queen size quilt,Bedding Sets,91,0.03%,70.33%,53.85%,12.09%
Wayfair US,beach bedding,Bedding Sets,91,0.03%,9.89%,0%,0%
Wayfair US,king pillow,Standard Bed Pillows,91,1.19%,50.55%,48.35%,1.1%
Wayfair US,dining chair pads,Furniture Cushions,91,0.23%,31.87%,14.29%,5.49%
Wayfair US,black and gold comforter set,Bedding Sets,90,0.03%,48.89%,40%,15.56%
Wayfair US,blush comforter set,Bedding Sets,90,0.03%,65.56%,55.56%,40%
Wayfair US,boys comforter set,Bedding Sets,90,0.03%,54.44%,46.67%,34.44%
