"Matched product ","Product targets","Added as","Impressions","Clicks","CTR","Spend(USD)","CPC(USD)","Orders","Sales(USD)","ACOS","ROAS","Conversion rate"
"bedspread beige","bedspread","","8","1","12.50",0.3,0.3,"0",0,,"0.0","0.0"
"3pcs luxury diamond bedspread","bedspread","","1","1","100.00",0.32,0.32,"0",0,,"0.0","0.0"
"3 piece soft fleece bedspread","bedspread","","2","1","50.00",0.34,0.34,"0",0,,"0.0","0.0"
"510 design bedspread","bedspread","","13","1","7.69",0.29,0.29,"0",0,,"0.0","0.0"
"berkshire bedspread","bedspread","","3","1","33.33",0.04,0.04,"0",0,,"0.0","0.0"
"100% cotton taupe woven king bedspread","bedspreads king","","1","1","100.00",0.58,0.58,"0",0,,"0.0","0.0"
"bedspread set queen","queen bedspreads sets","","64","2","3.13",1.06,0.53,"0",0,,"0.0","0.0"
"black and tan mix bedspread","bedspread","","1","1","100.00",0.32,0.32,"0",0,,"0.0","0.0"
"bedspread queen size in brown","bedspread","","315","11","3.49",3.03,0.28,"0",0,,"0.0","0.0"
"basic daybed bedspreads","bedspread","","1","1","100.00",0.31,0.31,"0",0,,"0.0","0.0"
"a nice night satin silky soft quilt","soft quilt","","2","2","100.00",0.49,0.24,"0",0,,"0.0","0.0"
"bedspread in tan and brown and cream","bedspread","","3","1","33.33",0.34,0.34,"0",0,,"0.0","0.0"
"beige quilt king","beige quilt king","Multiple: phrase, neg. exact","18628","54","0.29",37.86,0.7,"4",269.96,"14.024299896280931","7.130480718436344","7.4074074074074066"
"blue king plush bedspreads","bedspreads king","","4","1","25.00",0.47,0.47,"0",0,,"0.0","0.0"
"black bedspread queen","bedspread","","5","2","40.00",0.68,0.34,"0",0,,"0.0","0.0"
"amazon king bedspreads","bedspreads king","","9","1","11.11",0.42,0.42,"0",0,,"0.0","0.0"
"blue and tan bedspread","bedspread","","2","1","50.00",0.35,0.35,"0",0,,"0.0","0.0"
